Location,Address,FullAddress,Longitude,Latitude,Meal Times,Dates of Service
PK Yonge,"1200 SW 6th Street, Gainesville","1200 SW 6th St, Gainesville, FL, 32601, USA",-82.33431,29.63994,B (7:30-8:30) L (12:00-1:00),06/02/25-07/25/25 (M-F) Closed 07/04/25
Rawlings Elementary,"3500 NE 15th Street, Gainesville","3500 NE 15th St, Gainesville, FL, 32609, USA",-82.30678,29.68432,B (7:30-8:30) L (11:00-12:00),"06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
Prairie View Elementary,"1700 SE 35th Avenue, Gainesville","1700 SE 35th Ave, Gainesville, FL, 32641, USA",-82.30198,29.62095,"B (8:00-8:30), L (12:00-12:30)",6/16/25-7/25/25 (M-F) Closed 7/4/25; Open 6/19/25 and 7/3/25
Santa Fe High,"16213 NW US Hwy. 441, Alachua","16213 NW US Highway 441, Alachua, FL, 32615, USA",-82.52392,29.80629,"B (8:30-9:00), L (11:45-12:30)","06/09/25-07/24/25 (M-TH) Closed Thursday 06/19/25, 07/03/25; Open Friday 06/20/25"
Shell Elementary,"21633 65th Avenue, Hawthorne","21633 SE 65th Ave, Hawthorne, FL, 32640, USA",-82.091,29.59385,"B (7:30-8:30), L (11:30-12:30)",06/09/25-07/25/25 (M-F) Closed 07/04/25
St. Barbara Leadership Institute,"908 SE Williston Road, Gainesville","908 SE Williston Rd, Gainesville, FL, 32641, USA",-82.31446,29.63825,"B (8:00-8:30), L (11:00-11:30)","06/9/25-07/18/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
SWAG Family Resource Center,"807 SW 64th Terrace, Gainesville","807 SW 64th Ter, Gainesville, FL, 32607, USA",-82.41122,29.64486,"B (9:00-9:30), L (11:30-12:00)","06/09/25-07/25/25 (M-F) Closed all day on 06/19/25, 07/03/25-07/04/25. Closed for lunch on 6/12, 6/23, 6/26, 7/10, 7/15, and 7/24"
T B McPherson Rec,"1717 SE 15th Street, Gainesville","1717 SE 15th St, Gainesville, FL, 32641, USA",-82.30533,29.63392,"B (8:00-8:30), L (12:00-12:30)",06/09/25-07/25/25 (M-F) Closed 06/19/25 & 07/04/25
Talbot Elementary,"5701 NW 43rd Street, Gainesville","5701 NW 43rd St, Gainesville, FL, 32653, USA",-82.38719,29.70745,"B (7:30-8:00), L (11:30-12:00)",06/09/25-07/18/25 (M-F) Closed 07/04/25
Terwilliger Elementary,"3999 SW 122nd Street, Gainesville","3999 SW 122nd St, Gainesville, FL, 32608, USA",-82.47099,29.61744,"B (7:30-8:00), L (10:00-12:00)",06/09/25-07/18/25 (M-F); 07/21/25-07/31/25 (M-TH) Closed 07/04/25
Victorious Faith,"11411 State Road 121, Gainesville","11411 N State Road 121, Gainesville, FL, 32653, USA",-82.35731,29.75859,L (11:00-11:30),06/09/25-06/12/25 (M-TH)
Waldo Community Center,"13558 NE 148th Avenue, Waldo","13558 NE 148th Ave, Waldo, FL, 32694, USA",-82.17837,29.79116,"B (8:00-8:30), L (12:00-12:30)","06/09/25-07/24/25 (M-TH) Closed 06/19/25, 07/03/25"
Westside Rec. Center,"1001 NW 34th Street, Gainesville","1001 NW 34th St, Gainesville, FL, 32605, USA",-82.37006,29.66148,"B (8:00-8:30), L (12:00-12:30)",06/09/25-07/25/25 (M-F) Closed 06/19/25 & 07/04/25
Westwood Middle School,"3215 NW 15th Avenue, Gainesville","3215 NW 15th Ave, Gainesville, FL, 32605, USA",-82.37055,29.66497,"B (7:45-8:30), L (11:30-12:00)",06/9/25-07/18/25 (M-F) Closed 07/04/25
Wiles Elementary,"4601 SW 75th Street, Gainesville","4601 SW 75th St, Gainesville, FL, 32608, USA",-82.4204,29.61153,"B (7:30-8:00), L (11:30-12:00)",06/09/25-07/18/25 (M-F) Closed 07/04/25
Wilie Mae Stokes Community Center,"355 NW 6th Avenue, Micanopy","355 NW 6th Ave, Micanopy, FL, 32667, USA",-82.28462,29.50702,B (8:30-9:00) L (11:15-11:45),"06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
Williams Temple Church of God in Christ,"618 NW 6th Street, Gainesville","618 NW 6th St, Gainesville, FL, 32601, USA",-82.33089,29.6567,B (9:00-9:30) L (12:00-12:30),07/21/25-07/25/25 (M-F)
Archer Community Center,"16671 SW 137th Avenue, Archer","16671 SW 137th Ave, Archer, FL, 32618, USA",-82.51983,29.52755,G&G (10:30-11:15),06/09/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-06/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH)
