Location,Address,FullAddress,Longitude,Latitude,Meal Times,Dates of Service,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25
Wiles Elementary,"4601 SW 75th Street, Gainesville","4601 SW 75th St, Gainesville, FL, 32608, USA",-82.4204,29.61153,"B (7:30-8:00), L (11:30-12:00)",06/09/25-07/18/25 (M-F) Closed 07/04/25,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,,,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,,,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,,,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,,,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,,,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,,,,,,,
Wilie Mae Stokes Community Center,"355 NW 6th Avenue, Micanopy","355 NW 6th Ave, Micanopy, FL, 32667, USA",-82.28462,29.50702,B (8:30-9:00) L (11:15-11:45),"06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25",08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00,,,08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00,,,08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00,,,08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00,,,08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00,,,08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00,,,08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00,08:30-09:00
Williams Temple Church of God in Christ,"618 NW 6th Street, Gainesville","618 NW 6th St, Gainesville, FL, 32601, USA",-82.33089,29.6567,B (9:00-9:30) L (12:00-12:30),07/21/25-07/25/25 (M-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00-09:30,09:00-09:30,09:00-09:30,09:00-09:30,09:00-09:30
Archer Community Center,"16671 SW 137th Avenue, Archer","16671 SW 137th Ave, Archer, FL, 32618, USA",-82.51983,29.52755,G&G (10:30-11:15),06/09/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-06/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH),10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15
Catherine Taylor Park,"18100 Douglass Street, High Springs","18100 Douglass St, High Springs, FL, 32643, USA",-82.59113,29.82109,G&G (10:30-11:15),06/09/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-06/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH),10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15
Faith Mission Baptist Church,"2905 SE 21st Avenue, Gainesville","2905 SE 21st Ave, Gainesville, FL, 32641, USA",-82.28651,29.63214,G&G (10:30-11:15),06/09/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-06/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH),10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15
Hathcock Community Center,"15818 NW 140th Street, Alachua","15818 NW 140th St, Alachua, FL, 32615, USA",-82.49468,29.80047,G&G (10:30-11:00),06/09/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-06/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH),10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00
Hawthorne Stop 1 - 215th Street,"Field across from 5933 215th Street, Hawthorne","5933 SE 215th St, Hawthorne, FL, 32640, USA",-82.09278,29.59905,G&G (9:00-9:25),6/9/25-6/13/25 (M&TH); 6/16/25-6/20/25 (M&F); 6/23/25-6/27/25 (M&TH); 6/30/25-7/4/25 (M&W); 7/7/25-7/25/25 (M&TH),09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25,09:00-09:25
Hawthorne Stop 2 - SE Hawthorne Rd,"22820 SE Hawthorne Rd, Hawthorne","22820 SE Hawthorne Rd, Hawthorne, FL, 32640, USA",-82.07894,29.59661,G&G (9:45-10:05),6/9/25-6/13/25 (M&TH); 6/16/25-6/20/25 (M&F); 6/23/25-6/27/25 (M&TH); 6/30/25-7/4/25 (M&W); 7/7/25-7/25/25 (M&TH),09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05,09:45-10:05
Hawthorne Stop 3 - New Generation Church,22500 SE 71st Avenue Hawthorne,"22500 SE 71st Ave, Hawthorne, FL, 32640, USA",-82.08324,29.58897,G&G (10:20-10:40),6/9/25-6/13/25 (M&TH); 6/16/25-6/20/25 (M&F); 6/23/25-6/27/25 (M&TH); 6/30/25-7/4/25 (M&W); 7/7/25-7/25/25 (M&TH),10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40,10:20-10:40
Hawthorne Stop 4 - Island Grove,"SE 219th Ave & 201th Terrace, Hawthorne","SE 219th Ave & SE 201st Ter, Hawthorne, FL, 32640, USA",-82.10735,29.45347,G&G (10:55-11:15),6/9/25-6/13/25 (M&TH); 6/16/25-6/20/25 (M&F); 6/23/25-6/27/25 (M&TH); 6/30/25-7/4/25 (M&W); 7/7/25-7/25/25 (M&TH),10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15,10:55-11:15
Newberry Stop 1 - MLK Community Center,"25515 NW 6th Avenue, Newberry","25515 NW 6th Ave, Newberry, FL, 32669, USA",-82.61381,29.65169,G&G (10:30-11:00),06/09/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-06/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH),10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00,10:30-11:00
Newberry Stop 2 - Brookside,"100 NW 146th Drive, Newberry","100 NW 146th Dr, Newberry, FL, 32669, USA",-82.49975,29.65443,G&G (11:20-11:50),06/9/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-60/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH),11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50,11:20-11:50
Waldo City Square,"14450 NE 148th Avenue, Waldo","14450 NE 148th Ave, Waldo, FL, 32694, USA",-82.16907,29.79174,G&G (10:30-11:15),06/09/25-06/13/25 (M&TH); 06/16/25-06/20/25 (M&F); 06/23/25-06/27/25 (M&TH); 06/30/25-07/04/25 (M&W); 07/07/25-07/25/25 (M&TH),10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15,10:30-11:15
